product_id,id_web,nom_produit,prix_unitaire,z_score,ventes_totales,chiffre_affaires,stock
4138,15341,Zind-Humbrecht Zind 2017,25.7,-0.2433,6.0,154.2,0
4650,15206,Thierry Germain Saumur Blanc L'Insolite 2018,25.3,-0.2577,5.0,126.5,14
4889,16037,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,25.3,-0.2577,0.0,0.0,0
6207,16077,Domaine Giudicelli Patrimonio Rouge 2016,25.2,-0.2613,37.0,932.4,363
6206,16580,Domaine Giudicelli Patrimonio Blanc 2019,25.2,-0.2613,41.0,1033.2,120
5804,14955,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0,-0.2684,1.0,25.0,0
5711,16121,Albert Mann Riesling Cuvée Albert 2017,25.0,-0.2684,5.0,125.0,35
5628,12366,Parés Baltà Penedès Hisenda Miret 2013,25.0,-0.2684,0.0,0.0,20
4277,14865,I Fabbri Chianti Classico Riserva 2015,24.8,-0.2756,3.0,74.4,0
5896,15910,Thevenet Quintaine Viré-Clessé La Bongran 2015,24.7,-0.2792,0.0,0.0,17
5547,13959,Thierry Germain Saumur-Champigny Terres Chaudes 2017,24.6,-0.2828,1.0,24.6,32
6073,15951,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,24.5,-0.2864,0.0,0.0,19
5747,15631,Thibaud Boudignon Anjou Blanc 2018,24.5,-0.2864,21.0,514.5,1
4920,15530,Alain Graillot Crozes-Hermitage Blanc 2018,24.4,-0.29,10.0,244.0,1
4256,14253,Domaine Huet Vouvray Haut-Lieu Sec 2017,24.4,-0.29,0.0,0.0,0
6592,15764,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,24.4,-0.29,0.0,0.0,70
4919,15531,Alain Graillot Crozes-Hermitage Rouge 2017,24.4,-0.29,6.0,146.4,0
4758,15859,Domaine Saint-Nicolas Fiefs Vendéens Rouge Cuvée Jacques 2016,24.3,-0.2936,0.0,0.0,22
4648,16262,Bernard Baudry Chinon Blanc La Croix Boissée 2018,24.3,-0.2936,2.0,48.6,9
3847,15298,Pierre Jean Villa Saint-Joseph Préface 2018,24.2,-0.2972,6.0,145.2,0
5391,14141,Australie Maverick Trial Hill Riesling 2010,24.2,-0.2972,1.0,24.2,17
5810,14429,Château Tour De Pez Saint-Estèphe 2017,24.0,-0.3044,0.0,0.0,95
4180,15783,Domaine de l'Hortus Val de Montferrand La Grande Cuvée Blanc 2018,24.0,-0.3044,0.0,0.0,47
4179,16166,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,24.0,-0.3044,7.0,168.0,73
5801,11277,Château Monbrison Margaux Bouquet de Monbrison 2012,24.0,-0.3044,0.0,0.0,62
4615,16186,Alphonse Mellot Sancerre Blanc La Moussière 2018,24.0,-0.3044,7.0,168.0,10
